Designator,Val,Package,Origin X,Origin Y,Rotation,Layer,Process
"J1","ADS1299 module #1 digital","PinSocket_1x12_P2.54mm_Vertical",66.0000,124.0000,0.0,"Top","hand or selective solder"
"J2","ADS1299 module #1 analogue signals","PinSocket_1x10_P2.54mm_Vertical",41.0000,125.0000,0.0,"Top","hand or selective solder"
"J3","ADS1299 module #2 digital","PinSocket_1x12_P2.54mm_Vertical",66.0000,88.0000,0.0,"Top","hand or selective solder"
"J4","ADS1299 module #2 analogue signals","PinSocket_1x10_P2.54mm_Vertical",41.0000,80.0000,0.0,"Top","hand or selective solder"
"J5","ADS #1 DAISY_IN / CLKOUT stub","PinSocket_1x04_P2.54mm_Vertical",72.0000,124.0000,0.0,"Top","hand or selective solder"
"J6","ESP32-S3-DevKitC-1 row A","PinSocket_1x22_P2.54mm_Vertical",82.0000,122.0000,0.0,"Top","hand or selective solder"
"J7","ESP32-S3-DevKitC-1 row B","PinSocket_1x22_P2.54mm_Vertical",104.8600,122.0000,0.0,"Top","hand or selective solder"
"J8","ES8388 codec module","PinSocket_1x14_P2.54mm_Vertical",90.0000,58.0000,0.0,"Top","hand or selective solder"
"J9","Codec microphone feeds","PinSocket_1x04_P2.54mm_Vertical",114.0000,68.0000,0.0,"Top","hand or selective solder"
"J10","ADuM4160 USB isolator, device side","PinSocket_1x04_P2.54mm_Vertical",136.0000,124.0000,0.0,"Top","hand or selective solder"
"J11","ATECC608B breakout","PinSocket_1x04_P2.54mm_Vertical",136.0000,110.0000,0.0,"Top","hand or selective solder"
"J12","Charger + fuel gauge module","PinSocket_1x08_P2.54mm_Vertical",136.0000,96.0000,0.0,"Top","hand or selective solder"
"J13","18650 protected cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",136.0000,70.0000,0.0,"Top","hand or selective solder"
"J14","Helmet harness -- electrodes (12-way screened)","PinSocket_1x12_P2.54mm_Vertical",5.0000,118.0000,0.0,"Top","hand or selective solder"
"J15","DIN 42802 EMG1 cheek","DIN42802_1p5mm_Socket",8.0000,54.0000,0.0,"Top","hand or selective solder"
"J16","DIN 42802 EMG2 submental","DIN42802_1p5mm_Socket",8.0000,42.0000,0.0,"Top","hand or selective solder"
"J17","DIN 42802 EMG3 laryngeal","DIN42802_1p5mm_Socket",8.0000,30.0000,0.0,"Top","hand or selective solder"
"J18","Boom microphone pigtail (TRRS)","PinSocket_1x04_P2.54mm_Vertical",122.0000,40.0000,0.0,"Top","hand or selective solder"
"J19","74HC595 contact-light driver","PinSocket_1x16_P2.54mm_Vertical",78.0000,58.0000,0.0,"Top","hand or selective solder"
"J20","microSD breakout, SDMMC 1-bit","PinSocket_1x08_P2.54mm_Vertical",136.0000,58.0000,0.0,"Top","hand or selective solder"
"J21","Boom-mic preamp module (part not settled, E-14)","PinSocket_1x06_P2.54mm_Vertical",122.0000,58.0000,0.0,"Top","hand or selective solder"
"J22","EOG / spare electrode header","PinSocket_1x03_P2.54mm_Vertical",15.7000,56.5000,270.0,"Top","hand or selective solder"
"J23","ADS1299 module #1 analogue rails","PinSocket_1x06_P2.54mm_Vertical",47.0000,125.0000,0.0,"Top","hand or selective solder"
"J24","Charge input from the panel USB-C","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",143.0000,50.0000,0.0,"Top","hand or selective solder"
"J25","Buck-boost module, TPS63020 class","PinSocket_1x06_P2.54mm_Vertical",128.0000,44.0000,0.0,"Top","hand or selective solder"
"J26","Debug / programming header","PinSocket_1x06_P2.54mm_Vertical",117.0000,122.0000,0.0,"Top","hand or selective solder"
"J27","Headphone jack pigtail","PinSocket_1x04_P2.54mm_Vertical",128.0000,58.0000,0.0,"Top","hand or selective solder"
"J28","Room microphone module","PinSocket_1x04_P2.54mm_Vertical",122.0000,28.0000,0.0,"Top","hand or selective solder"
"J29","ADS1299 module #2 analogue rails","PinSocket_1x06_P2.54mm_Vertical",47.0000,106.0000,0.0,"Top","hand or selective solder"
"J30","Helmet harness -- contact lights (10-way)","PinSocket_1x10_P2.54mm_Vertical",66.0000,40.0000,0.0,"Top","hand or selective solder"
"SW1","BTN_A response (green)","SW_PUSH_6mm_H5mm",102.0000,54.0000,0.0,"Top","hand or selective solder"
"SW2","BTN_B response (blue)","SW_PUSH_6mm_H5mm",102.0000,40.0000,0.0,"Top","hand or selective solder"
"SW3","BTN_STOP (red)","SW_PUSH_6mm_H5mm",102.0000,26.0000,0.0,"Top","hand or selective solder"
